Date,Price,Final_Verdict,Market_Reality,Correct,Weighted_Score,CE_Article_Count,CE_Sentiment,CE_Mean_Score,CE_Sentiment_Score,CE_Confidence,CE_Explanation,TTS_Score,TTS_Signal,TTS_Explanation,SIV_Signal,SIV_Explanation,Verdict_Reasoning,Exit_Reason,Execution_Time_Seconds
08/10/2023,0.3875,BUY,BULLISH,True,0.4698,19.0,BULLISH,0.8384,0.0971,MODERATE,pending_explanation,-0.3256,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.4698 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3038
08/11/2023,0.3902,SELL,BEARISH,True,-0.6834,11.0,BEARISH,0.8329,-0.5622,LOW,pending_explanation,-0.2084,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.6834 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2146
08/14/2023,0.3892,SELL,BEARISH,True,-0.7231,18.0,BEARISH,0.7946,-0.1669,MODERATE,pending_explanation,-0.3077,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7231 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3397
08/15/2023,0.3898,BUY,BEARISH,False,0.4795,30.0,BULLISH,0.7935,0.2574,HIGH,pending_explanation,-0.3013,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.4795 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.9157
08/16/2023,0.3869,SELL,BULLISH,False,-0.7322,8.0,BEARISH,0.8364,-0.197,LOW,pending_explanation,-0.3305,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7322 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1126
08/17/2023,0.3888,SELL,BEARISH,True,-0.7237,26.0,BEARISH,0.8172,-0.353,HIGH,pending_explanation,-0.3092,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7237 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.7877
08/18/2023,0.3861,SELL,BULLISH,False,-0.7341,25.0,BEARISH,0.7562,-0.1208,HIGH,pending_explanation,-0.3353,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7341 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3666
08/21/2023,0.3852,BUY,BULLISH,True,0.4626,12.0,BULLISH,0.7727,0.1508,LOW,pending_explanation,-0.3436,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.4626 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2366
08/22/2023,0.3858,BUY,BULLISH,True,0.4656,19.0,BULLISH,0.8702,0.0622,MODERATE,pending_explanation,-0.3361,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.4656 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.7001
08/23/2023,0.3908,SELL,BEARISH,True,-0.6786,10.0,BEARISH,0.7456,-0.0942,LOW,pending_explanation,-0.1965,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.6786 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1891
08/24/2023,0.3887,SELL,BEARISH,True,-0.7212,14.0,BEARISH,0.8556,-0.074,LOW,pending_explanation,-0.3029,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7212 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2766
08/25/2023,0.3865,HOLD,BULLISH,False,-0.1298,18.0,NEUTRAL,0.7482,-0.0434,MODERATE,pending_explanation,-0.3244,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.1298 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.3037
