Date,Price,Final_Verdict,Market_Reality,Correct,Weighted_Score,CE_Article_Count,CE_Sentiment,CE_Mean_Score,CE_Sentiment_Score,CE_Confidence,CE_Explanation,TTS_Score,TTS_Signal,TTS_Explanation,SIV_Signal,SIV_Explanation,Verdict_Reasoning,Exit_Reason,Execution_Time_Seconds
05/10/2024,0.6601,SELL,BULLISH,False,-0.6048,13.0,BEARISH,0.8248,-0.0568,LOW,pending_explanation,-0.012,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.6048 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.4346
05/13/2024,0.6606,SELL,BULLISH,False,-0.6026,14.0,BEARISH,0.8212,-0.1466,LOW,pending_explanation,-0.0064,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.6026 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.2247
05/14/2024,0.66244,HOLD,BULLISH,False,0.0024,12.0,NEUTRAL,0.8045,-0.0247,LOW,pending_explanation,0.006,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.0024 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.1821
05/15/2024,0.66904,SELL,BEARISH,True,-0.5782,9.0,BEARISH,0.6771,-0.3335,LOW,pending_explanation,0.0546,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5782 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1851
05/16/2024,0.66761,BUY,BEARISH,False,0.619,9.0,BULLISH,0.8315,0.2127,LOW,pending_explanation,0.0476,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.619 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.147
05/17/2024,0.6692,HOLD,BEARISH,False,0.0225,12.0,NEUTRAL,0.7906,-0.0433,LOW,pending_explanation,0.0562,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.0225 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.2168
05/20/2024,0.6667,SELL,BEARISH,True,-0.5744,13.0,BEARISH,0.8694,-0.2502,LOW,pending_explanation,0.0641,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5744 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2039
05/21/2024,0.66664,SELL,BEARISH,True,-0.5746,15.0,BEARISH,0.809,-0.4464,MODERATE,pending_explanation,0.0635,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5746 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2012
05/22/2024,0.66184,SELL,BULLISH,False,-0.5923,9.0,BEARISH,0.8119,-0.2304,LOW,pending_explanation,0.0192,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5923 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1333
05/23/2024,0.66046,SELL,BULLISH,False,-0.597,15.0,BEARISH,0.8242,-0.1953,MODERATE,pending_explanation,0.0076,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.597 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2391
05/24/2024,0.6627,BUY,BULLISH,True,0.61,5.0,BULLISH,0.7848,0.0781,LOW,pending_explanation,0.0251,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.61 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.0853
05/27/2024,0.66536,BUY,BEARISH,False,0.6178,4.0,BULLISH,0.78,0.1591,LOW,pending_explanation,0.0446,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.6178 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.063
05/28/2024,0.66488,BUY,BEARISH,False,0.616,13.0,BULLISH,0.795,0.262,LOW,pending_explanation,0.0399,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.616 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.4018
05/29/2024,0.66106,HOLD,BULLISH,False,0.0018,16.0,NEUTRAL,0.7681,-0.0155,MODERATE,pending_explanation,0.0044,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.0018 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.2675
05/30/2024,0.66312,SELL,BULLISH,False,-0.5847,20.0,BEARISH,0.738,-0.2261,MODERATE,pending_explanation,0.0383,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5847 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.5213
05/31/2024,0.6652,SELL,BEARISH,True,-0.5765,44.0,BEARISH,0.7218,-0.5456,HIGH,pending_explanation,0.0588,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5765 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.6362
06/03/2024,0.6687,SELL,BEARISH,True,-0.5638,11.0,BEARISH,0.7761,-0.0637,LOW,pending_explanation,0.0904,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5638 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2021
06/04/2024,0.6648,SELL,BEARISH,True,-0.5774,11.0,BEARISH,0.8015,-0.3018,LOW,pending_explanation,0.0564,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5774 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1803
